gene	pearson_corr	pearson_pvalue	pearson_FDR	spearman_corr	spearman_pvalue	spearman_FDR	mean_RNA	mean_protein	sd_RNA	sd_protein	number_of_samples
AFG1L	0.7696	1.08e-13	6.6e-13	0.6896	2.936e-10	1.05e-09	3.89	0.08	1.76	0.36	64
AFG3L2	0.6018	1.439e-07	3.28e-07	0.4848	4.915e-05	8.63e-05	69.75	0.07	20.37	0.26	64
AFM	0.2664	0.2308	0.253	0.253	0.256	0.281	0.04	-0.14	0.1	0.3	22
AFMID	0.5185	1.138e-05	2.02e-05	0.4687	9.39e-05	0.000159	21.01	-0.24	9.61	0.49	64
AFP	0.0285	0.8443	0.857	0.0353	0.8079	0.823	0.01	-0.56	0.05	0.76	50
AFTPH	0.6009	1.523e-07	3.46e-07	0.6206	4.496e-08	1.19e-07	52.01	-0.08	16.41	0.18	64
AGA	0.6661	1.897e-09	5.62e-09	0.7482	1.2e-12	5.9e-12	24.52	0.07	8.74	0.68	64
AGAP1	0.5986	1.75e-07	3.95e-07	0.6979	1.464e-10	5.41e-10	7.52	-0.13	8.22	0.78	64
AGAP2	0.8085	6.558e-16	6.16e-15	0.8247	5.498e-17	4.78e-16	20.61	0.02	11.85	0.49	64
AGAP3	0.8437	2.119e-18	3.69e-17	0.878	1.67e-21	3.15e-20	5.01	-0.25	4.01	0.67	64
AGFG1	0.5708	8.425e-07	1.73e-06	0.501	2.481e-05	4.52e-05	46.5	0.01	12.16	0.18	64
AGFG2	0.8163	2.051e-16	2.15e-15	0.7897	8.848e-15	5.74e-14	9.13	-0.1	3.66	0.38	64
AGGF1	0.6496	6.352e-09	1.76e-08	0.5975	1.867e-07	4.56e-07	16.41	-0.22	6.2	0.48	64
AGK	0.8164	2.017e-16	2.12e-15	0.8161	2.119e-16	1.69e-15	14.68	-0.02	6.97	0.39	64
AGL	0.81	5.235e-16	5.03e-15	0.7742	6.224e-14	3.62e-13	26.16	-0.07	12.46	0.45	64
AGMAT	0.7226	1.425e-08	3.75e-08	0.7958	3.842e-11	1.53e-10	2.01	-1.1	3.76	1.34	46
AGO1	0.4116	0.0007269	0.00103	0.4314	0.0003721	0.000584	25.01	0.11	8.39	0.33	64
AGO2	0.6857	4.053e-10	1.32e-09	0.8165	1.99e-16	1.6e-15	36.55	0.13	21.91	0.28	64
AGO3	0.3307	0.007604	0.0097	0.3641	0.003096	0.00431	16.49	0.14	6.83	0.21	64
AGO4	0.8236	6.518e-17	7.77e-16	0.8836	4.257e-22	8.97e-21	35.32	0.08	14.78	0.44	64
AGPAT1	0.5109	1.609e-05	2.79e-05	0.6195	4.837e-08	1.27e-07	32.67	0.05	10.95	0.25	64
AGPAT2	0.715	3.205e-11	1.27e-10	0.7402	2.751e-12	1.29e-11	16.88	0.01	8.89	0.44	64
AGPAT3	0.8774	1.894e-21	9.01e-20	0.9072	5.325e-25	2.04e-23	12.91	-0.19	7.48	0.58	64
AGPAT4	0.6675	1.706e-09	5.08e-09	0.8285	2.933e-17	2.64e-16	5.49	0.04	4.71	0.7	64
AGPAT5	0.5532	2.132e-06	4.14e-06	0.5607	1.448e-06	3.14e-06	79.75	0.04	42.08	0.35	64
AGPS	0.6559	4.049e-09	1.15e-08	0.7137	3.614e-11	1.44e-10	56.41	-0.24	27.75	0.36	64
AGR2	0.531	0.0008622	0.00122	0.1781	0.2988	0.326	0.07	0.05	0.29	0.7	36
AGRN	0.7104	4.889e-11	1.87e-10	0.7416	2.397e-12	1.13e-11	4.37	-0.45	3.85	0.87	64
AGTPBP1	0.5884	3.161e-07	6.88e-07	0.5622	1.338e-06	2.91e-06	66.11	0.02	21.65	0.23	64
AGTRAP	0.7227	1.559e-11	6.53e-11	0.7236	1.428e-11	6.05e-11	11.35	-0.05	17.41	0.52	64
AHCTF1	0.5127	1.484e-05	2.59e-05	0.509	1.75e-05	3.27e-05	90.06	0.06	35.7	0.13	64
AHCY	0.7806	2.852e-14	1.96e-13	0.6789	6.997e-10	2.38e-09	137.03	-0.04	42.57	0.19	64
AHCYL1	0.2616	0.03678	0.0439	0.2745	0.02816	0.0349	84.38	0.04	24.56	0.18	64
AHCYL2	0.7278	9.506e-12	4.13e-11	0.7856	1.502e-14	9.37e-14	12.56	0.06	7.02	0.27	64
AHDC1	0.6238	3.651e-08	9.11e-08	0.6842	4.584e-10	1.59e-09	7.16	0.01	6.11	0.45	64
AHI1	0.2578	0.03971	0.0472	0.4652	0.0001076	0.000181	22.9	-0.08	16.65	0.51	64
AHNAK	0.6216	4.21e-08	1.04e-07	0.6071	1.05e-07	2.65e-07	21.41	-1.16	72.82	1.08	64
AHNAK2	0.1794	0.2226	0.244	0.3842	0.00702	0.00936	0.3	-0.19	0.75	0.59	48
AHSA1	0.7138	3.589e-11	1.41e-10	0.6654	1.998e-09	6.37e-09	135.39	-0.14	55.93	0.23	64
AHSG	-0.0193	0.8794	0.89	0.0422	0.7403	0.759	0.03	-0.27	0.09	0.74	64
AIDA	0.5792	5.339e-07	1.12e-06	0.6267	3.021e-08	8.16e-08	20.46	0.08	8	0.3	64
AIF1	0.2639	0.03513	0.042	0.6106	8.452e-08	2.16e-07	102.19	0.02	129.62	0.91	64
AIF1L	0.7196	2.097e-11	8.58e-11	0.6201	4.652e-08	1.23e-07	5.09	0	10.33	1.28	64
AIFM1	0.2834	0.02327	0.0284	0.2808	0.0246	0.0307	50.27	0.07	16.14	0.22	64
AIFM2	0.7371	3.78e-12	1.75e-11	0.6751	9.505e-10	3.18e-09	3.01	-0.57	2.1	0.65	64
AIMP1	0.4163	0.0006235	0.000894	0.3635	0.003157	0.00439	71.67	-0.03	22.82	0.17	64
AIMP2	0.7494	1.055e-12	5.33e-12	0.7671	1.447e-13	8e-13	72.15	0.03	33.51	0.2	64
AIP	0.4761	7.009e-05	0.000113	0.5092	1.736e-05	3.24e-05	92.47	0.04	34.34	0.2	64
AJUBA	0.8125	3.631e-16	3.63e-15	0.8424	2.651e-18	2.83e-17	10	0.47	8.69	0.59	64
AK1	0.2241	0.07499	0.0867	0.3058	0.014	0.018	2.04	-0.17	1.92	1.26	64
AK2	0.2193	0.08173	0.0941	0.3354	0.006744	0.00901	176.16	-0.01	60.3	0.45	64
AK3	0.6414	1.126e-08	3.01e-08	0.6684	1.591e-09	5.15e-09	54.54	0.27	20.08	0.47	64
AK4	0.6735	1.069e-09	3.27e-09	0.7848	1.669e-14	1.04e-13	28.05	0	33.13	0.72	64
AK5	0.8204	1.085e-16	1.23e-15	0.6766	8.447e-10	2.84e-09	1.14	-0.61	1.97	0.96	64
AK6	0.634	1.873e-08	4.85e-08	0.5594	1.544e-06	3.33e-06	39.03	-0.16	11.79	0.35	64
AKAP1	0.6956	1.775e-10	6.18e-10	0.6954	1.814e-10	6.63e-10	64.2	-0.07	18.65	0.28	64
AKAP10	0.3169	0.01072	0.0134	0.3378	0.00634	0.00849	34.92	0.03	14.52	0.19	64
AKAP11	0.5396	4.209e-06	7.87e-06	0.5441	3.361e-06	6.89e-06	43.08	-0.05	21.7	0.3	64
AKAP12	0.8997	5.356e-24	6.69e-22	0.8674	1.862e-20	2.95e-19	85.67	-0.41	115.09	1.2	64
AKAP13	0.751	8.895e-13	4.55e-12	0.7551	5.674e-13	2.91e-12	42.86	0.03	23.6	0.41	64
AKAP5	0.7785	3.667e-14	2.47e-13	0.8186	1.428e-16	1.16e-15	3.23	-0.12	2.48	0.85	64
AKAP7	0.6124	7.53e-08	1.79e-07	0.7043	8.418e-11	3.2e-10	8.23	-0.07	7.49	0.78	64
AKAP8	0.3786	0.002038	0.00276	0.395	0.001239	0.00181	37.73	0.05	7	0.14	64
AKAP8L	0.4988	2.727e-05	4.59e-05	0.5444	3.316e-06	6.8e-06	59.62	0.13	14.42	0.19	64
AKAP9	0.5789	5.43e-07	1.14e-06	0.5864	3.552e-07	8.36e-07	66.96	0.09	36.06	0.25	64
AKIP1	0.535	5.259e-06	9.72e-06	0.6658	1.944e-09	6.2e-09	24.4	0.11	8.28	0.29	64
AKIRIN1	0.2815	0.02421	0.0295	0.2741	0.02838	0.0352	90.62	-0.1	24.31	0.33	64
AKIRIN2	0.1241	0.3285	0.353	0.1711	0.1764	0.198	22.43	-0.11	9.3	0.35	64
AKNA	0.7242	1.354e-11	5.72e-11	0.7917	6.782e-15	4.44e-14	53.21	-0.13	43.18	0.38	64
AKR1A1	0.7686	1.222e-13	7.4e-13	0.7161	2.891e-11	1.17e-10	167.64	0.14	56.44	0.41	64
AKR1B1	0.8499	6.581e-19	1.35e-17	0.7617	2.712e-13	1.45e-12	97.92	0.19	64.81	0.34	64
AKR1B10	0.0127	0.9542	0.959	-0.0456	0.8365	0.85	0.01	-0.41	0.03	1.81	23
AKR1C3	0.5507	2.422e-06	4.67e-06	0.8466	1.239e-18	1.41e-17	7.23	-0.41	20.53	1.01	64
AKR1C4	NA	NA	NA	NA	NA	NA	0	-0.05	0	1.03	21
AKR1D1	-0.0329	0.8466	0.859	-0.0349	0.8377	0.851	0.02	0.31	0.05	0.66	37
AKR7A2	0.2054	0.1035	0.118	0.1077	0.397	0.425	70.97	0.15	17.19	0.17	64
AKR7L	-0.0351	0.8252	0.839	-0.0707	0.6562	0.679	1.7	0.16	1.23	0.49	42
AKT1	0.5077	1.854e-05	3.19e-05	0.421	0.0005317	0.000816	47.19	0.05	14.78	0.24	64
AKT1S1	0.2423	0.05369	0.063	0.1436	0.2575	0.283	7.58	-0.08	2.45	0.26	64
AKT2	0.0309	0.8086	0.823	-0.0205	0.8725	0.884	27.29	0.12	6.04	0.17	64
AKT3	0.786	1.436e-14	1.04e-13	0.8737	4.577e-21	8.09e-20	26.48	-0.15	23.21	0.66	64
AKTIP	0.5436	3.448e-06	6.53e-06	0.6021	1.417e-07	3.52e-07	8.57	-0.06	5.07	0.29	64
AL049834.1	0.3907	0.05349	0.0628	0.4185	0.03736	0.0456	4.84	0.16	1.57	0.35	25
ALAD	0.7342	5.07e-12	2.29e-11	0.7194	2.136e-11	8.84e-11	15.71	0.12	4.55	0.39	64
ALAS1	0.37	0.002622	0.00351	0.4062	0.0008678	0.0013	67.48	-0.35	17.7	0.45	64
ALB	-0.0834	0.5126	0.539	0.0105	0.9343	0.941	0.15	-0.4	0.21	0.55	64
ALCAM	0.8742	4.021e-21	1.67e-19	0.9201	6.321e-27	4.25e-25	26.4	-0.25	19.24	0.63	64
ALDH16A1	0.3506	0.004513	0.00589	0.3662	0.002924	0.00408	12.35	0.02	4.9	0.25	64
ALDH18A1	0.6782	7.4e-10	2.32e-09	0.6117	7.896e-08	2.02e-07	142.93	-0.07	61.12	0.27	64
ALDH1A1	0.4001	0.001053	0.00147	0.2046	0.1048	0.121	71.8	-0.9	401.21	1.7	64
ALDH1A2	0.8279	3.268e-17	4.19e-16	0.2898	0.02017	0.0254	35.28	-0.6	69.4	1.08	64
ALDH1B1	0.79	8.452e-15	6.44e-14	0.7927	5.931e-15	3.91e-14	23.5	-0.28	13.35	0.65	64
ALDH1L2	0.8875	2.089e-16	2.19e-15	0.5857	1.9e-05	3.53e-05	0.64	-0.21	1.1	1.17	46
ALDH2	0.6816	5.669e-10	1.81e-09	0.7308	7.087e-12	3.13e-11	0.96	-0.86	1.59	1.5	64
ALDH3A2	0.9189	9.979e-27	5.64e-24	0.927	4.242e-28	3.86e-26	16.42	-0.14	14.91	0.87	64
ALDH3B1	0.7938	9.891e-08	2.31e-07	0.6598	5.394e-05	9.42e-05	2.13	0.36	3.32	0.8	31
ALDH4A1	0.7551	5.646e-13	3e-12	0.7639	2.099e-13	1.14e-12	18.45	0.16	8.73	0.66	64
ALDH5A1	0.7334	5.51e-12	2.48e-11	0.6391	1.316e-08	3.75e-08	98.81	0.27	94.87	0.46	64
ALDH6A1	0.7044	8.296e-11	3.05e-10	0.7068	6.742e-11	2.6e-10	24.15	0.24	7.6	0.45	64
ALDH7A1	0.8981	8.472e-24	9.29e-22	0.8798	1.089e-21	2.13e-20	3.29	-0.03	3.75	1.09	64
ALDH8A1	0.3088	0.01943	0.0239	0.2595	0.05129	0.0615	0.9	0.17	0.82	0.44	57
ALDH9A1	0.5924	2.521e-07	5.56e-07	0.5484	2.723e-06	5.68e-06	69.15	0.17	26.38	0.32	64
ALDOA	0.417	0.001018	0.00142	0.418	0.0009868	0.00146	5.94	-0.81	2.33	1.1	59
ALDOB	-0.2251	0.1868	0.207	-0.1715	0.3173	0.345	0.01	0.46	0.02	0.89	36
ALDOC	0.6923	2.354e-10	8.02e-10	0.8182	1.533e-16	1.24e-15	83.86	0.18	99.03	0.6	64
ALG1	0.6288	2.631e-08	6.68e-08	0.6548	4.368e-09	1.33e-08	15.82	-0.01	6.31	0.24	64
ALG10	0.0105	0.9569	0.961	-0.069	0.7222	0.743	30.93	0.01	14.26	0.33	29
ALG11	0.4469	0.0002137	0.000325	0.4395	0.0002799	0.000446	5.31	0.12	1.86	0.26	64
ALG12	0.4059	0.002831	0.00377	0.3832	0.005051	0.00684	12.86	0.13	4.15	0.37	52
ALG13	0.0742	0.56	0.586	0.0213	0.8674	0.879	23.14	-0.05	14.79	0.21	64
ALG14	0.4653	0.0001069	0.000168	0.5034	2.237e-05	4.1e-05	2.9	-0.01	1.1	0.22	64
ALG2	0.5671	1.03e-06	2.09e-06	0.5892	3.027e-07	7.19e-07	27.43	-0.01	7.48	0.29	64
ALG3	0.5756	6.493e-07	1.35e-06	0.5605	1.458e-06	3.16e-06	29	-0.08	8.5	0.33	64
ALG5	0.7813	2.608e-14	1.81e-13	0.4597	0.0001329	0.000221	53.46	-0.23	30.45	0.32	64
ALG6	0.5024	2.332e-05	3.96e-05	0.5535	2.1e-06	4.44e-06	24.47	0.17	7.9	0.31	64
ALG8	0.3931	0.001313	0.00181	0.4262	0.0004451	0.00069	63.68	-0.02	20.2	0.22	64
ALKBH1	0.3922	0.001351	0.00186	0.2662	0.03348	0.0411	22.99	-0.1	6.75	0.26	64
ALKBH2	0.8445	1.832e-18	3.26e-17	0.8482	9.128e-19	1.05e-17	19.43	-0.01	10.81	0.53	64
ALKBH3	0.8935	3.105e-23	2.74e-21	0.8846	3.303e-22	7.2e-21	35.12	-0.12	21.02	0.54	64
ALKBH4	0.5967	1.958e-07	4.39e-07	0.6305	2.365e-08	6.49e-08	14.89	0.1	3.88	0.25	64
ALKBH5	0.6777	7.694e-10	2.41e-09	0.6854	4.146e-10	1.45e-09	98.89	0.17	26.37	0.22	64
ALKBH6	0.1378	0.2775	0.301	0.1168	0.3578	0.386	3.33	-0.07	1.35	0.26	64
ALKBH7	0.0798	0.5307	0.557	0.0718	0.5727	0.599	19.55	-0.13	7.47	0.31	64
ALKBH8	0.4387	0.0002878	0.00043	0.4308	0.0003799	0.000595	21.2	0.02	7.1	0.16	64
ALMS1	0.3517	0.004379	0.00573	0.3304	0.007674	0.0102	52.8	0	25.64	0.17	64
ALOX5	0.7163	2.83e-11	1.13e-10	0.7139	3.535e-11	1.42e-10	18.52	-0.02	51.79	1.3	64
ALOX5AP	0.8482	9.143e-19	1.77e-17	0.7767	4.58e-14	2.71e-13	37.12	0.17	52.31	0.58	64
ALPK1	0.6831	5.004e-10	1.61e-09	0.8183	1.512e-16	1.23e-15	10.88	-0.07	7.29	0.46	64
ALPK3	0.6289	0.002256	0.00304	0.4909	0.02384	0.0298	2.58	-0.3	5.18	1.09	21
ALS2	0.8084	6.655e-16	6.24e-15	0.8152	2.436e-16	1.93e-15	13	0.24	7.37	0.29	64
ALYREF	0.4908	3.835e-05	6.37e-05	0.3954	0.001223	0.00179	248.5	-0.02	104.94	0.16	64
AMACR	0.3226	0.009333	0.0118	0.3271	0.008342	0.011	0.72	0	0.33	0.41	64
AMBRA1	-0.0397	0.7555	0.773	0.0424	0.7391	0.759	33.3	-0.01	9.01	0.17	64
AMD1	0.3696	0.002649	0.00354	0.3406	0.005893	0.00792	112.36	-0.17	33.01	0.53	64
AMDHD1	0.4694	0.01555	0.0192	0.222	0.2758	0.302	1.25	0.14	1.52	0.75	26
AMDHD2	0.6021	1.421e-07	3.24e-07	0.6151	6.375e-08	1.65e-07	10.37	-0.01	7.83	0.36	64
AMER1	0.7518	8.152e-13	4.2e-12	0.7209	1.853e-11	7.73e-11	15.39	-0.29	9.64	0.52	64
AMER2	0.8277	3.054e-08	7.71e-08	0.3428	0.06867	0.0809	3.05	-0.56	7.54	1.2	29
AMFR	0.4125	0.0007054	0.00101	0.4273	0.0004293	0.000667	72.18	-0.2	24.8	0.26	64
AMMECR1	0.8481	9.362e-19	1.81e-17	0.8792	1.255e-21	2.43e-20	40.18	-0.29	33.63	0.53	64
AMMECR1L	0.074	0.5611	0.587	0.0663	0.603	0.628	38.27	-0.02	8.63	0.3	64
AMN1	0.5981	1.8e-07	4.05e-07	0.5959	2.052e-07	4.99e-07	8.22	-0.05	4.31	0.48	64
AMOT	0.7822	2.33e-14	1.63e-13	0.8922	4.492e-23	1.17e-21	20.9	-0.17	27.26	0.86	64
AMOTL1	0.6796	6.625e-10	2.09e-09	0.7059	7.258e-11	2.79e-10	32.71	0.18	22.72	0.64	64
AMPD2	0.6872	3.58e-10	1.18e-09	0.5264	7.898e-06	1.55e-05	35.23	0.22	15.9	0.33	64
AMPD3	0.839	4.897e-18	7.84e-17	0.9078	4.467e-25	1.75e-23	13.4	0.21	23.39	0.85	64
AMZ2	0.738	3.457e-12	1.61e-11	0.7368	3.923e-12	1.8e-11	41.26	-0.11	17.36	0.3	64
ANAPC1	0.3896	0.001464	0.00201	0.2954	0.01781	0.0226	46.06	-0.07	14.8	0.17	64
ANAPC10	0.308	0.01328	0.0165	0.3487	0.004743	0.00644	8.42	0.03	2.41	0.18	64
ANAPC11	0.2532	0.04355	0.0516	0.2819	0.02404	0.03	14.78	0.09	6.56	0.29	64
ANAPC13	0.2672	0.03278	0.0393	0.255	0.04201	0.0509	45.06	-0.14	12.64	0.28	64
ANAPC15	0.2497	0.1107	0.126	0.4592	0.002221	0.00315	35.44	0.06	15.74	0.46	42
ANAPC16	0.0152	0.9052	0.914	-0.0049	0.9691	0.973	77.58	-0.05	21.65	0.18	64
ANAPC2	-0.1769	0.1621	0.181	-0.1664	0.1887	0.21	20.36	-0.11	6.07	0.19	64
ANAPC4	-0.0378	0.767	0.783	0.0346	0.786	0.803	31.44	-0.05	9.77	0.18	64
ANAPC5	0.1709	0.1769	0.196	0.0561	0.6595	0.682	79.12	-0.12	22.74	0.18	64
ANAPC7	0.2264	0.07198	0.0834	0.1749	0.1669	0.188	40.84	-0.04	11.31	0.15	64
ANGEL1	0.428	0.0004186	0.000614	0.4836	5.162e-05	9.04e-05	20.29	-0.06	11.46	0.33	64
ANGEL2	0.4334	0.0003465	0.000513	0.3965	0.001182	0.00174	30.1	0.13	8.69	0.21	64
ANGPT1	0.8548	1.977e-16	2.09e-15	0.4153	0.001793	0.00257	5.82	-0.22	22.08	0.67	54
ANGPT2	-0.2108	0.1418	0.159	-0.1992	0.1654	0.186	0.65	-0.02	1.71	0.63	50
ANGPTL2	0.7553	7.355e-12	3.25e-11	0.8663	1.601e-18	1.78e-17	5.78	-0.36	8.92	0.87	58
ANGPTL6	0.7351	8.134e-10	2.54e-09	0.6984	1.216e-08	3.48e-08	8.07	-0.01	8.37	0.45	51
ANK1	0.7388	7.144e-06	1.3e-05	0.3634	0.0573	0.0682	1.11	-0.25	1.76	0.35	28
ANK2	0.8451	1.624e-18	2.93e-17	0.7875	1.183e-14	7.5e-14	1.56	-0.46	2.15	0.5	64
ANK3	0.3949	0.006605	0.00847	0.222	0.1381	0.157	0.47	-0.14	1.33	0.42	46
ANKFY1	0.7361	4.181e-12	1.92e-11	0.6487	6.781e-09	2.01e-08	23.1	0.16	6.64	0.24	64
ANKH	0.7289	8.597e-12	3.76e-11	0.7723	7.847e-14	4.5e-13	12.45	-0.05	8.48	0.42	64
ANKHD1	-0.155	0.2214	0.243	-8e-04	0.9948	0.996	3.11	-0.13	2.43	0.34	64
ANKHD1-EIF4EBP3	0.0127	0.9208	0.929	0.1075	0.3978	0.426	1.04	-0.03	1	0.19	64
ANKIB1	0.248	0.04816	0.0568	0.2559	0.04129	0.0501	48.56	0.01	14.79	0.2	64
ANKLE1	0.847	1.152e-18	2.17e-17	0.8593	1.035e-19	1.42e-18	18.91	-0.46	19.41	0.81	64
ANKLE2	0.4948	3.238e-05	5.41e-05	0.4829	5.319e-05	9.3e-05	40.67	-0.01	14.89	0.19	64
ANKMY2	0.8396	4.388e-18	7.16e-17	0.8409	3.508e-18	3.65e-17	34.53	0.14	13.47	0.41	64
ANKRA2	0.2559	0.04128	0.049	0.293	0.01879	0.0238	24.88	0.06	8.27	0.27	64
ANKRD10	0.1934	0.1257	0.142	0.1522	0.2301	0.254	174.99	-0.03	74.83	0.26	64
ANKRD11	0.2798	0.02517	0.0306	0.4316	0.0003697	0.00058	21.3	0.1	9.14	0.15	64
ANKRD12	0.565	1.15e-06	2.32e-06	0.6358	1.653e-08	4.64e-08	22.76	0.02	12.15	0.28	64
ANKRD13A	0.8215	9.173e-17	1.06e-15	0.8164	2.018e-16	1.62e-15	63.1	0.09	21.84	0.29	64
ANKRD13B	0.5581	1.655e-06	3.26e-06	0.7221	1.658e-11	6.97e-11	13.7	-0.13	10.32	0.56	64
ANKRD13C	0.2039	0.106	0.12	0.0945	0.4578	0.485	25.62	-0.08	6.63	0.31	64
ANKRD13D	0.7199	2.035e-11	8.34e-11	0.6457	8.337e-09	2.45e-08	29.66	-0.02	15.31	0.38	64
ANKRD16	0.6851	4.252e-10	1.39e-09	0.7274	9.946e-12	4.29e-11	12.8	0.06	4.86	0.3	64
ANKRD17	0.1512	0.2331	0.255	0.1297	0.3071	0.334	81.45	-0.07	22	0.23	64
ANKRD26	0.5373	4.711e-06	8.76e-06	0.5121	1.52e-05	2.86e-05	19.38	0	9.97	0.31	64
ANKRD27	0.8224	7.866e-17	9.23e-16	0.7727	7.51e-14	4.32e-13	44.59	0.08	19.6	0.32	64
ANKRD28	0.6139	6.86e-08	1.64e-07	0.5883	3.182e-07	7.54e-07	63.27	-0.01	42.96	0.26	64
ANKRD30B	0.251	0.181	0.201	0.5076	0.004195	0.00573	6.34	-0.05	24.36	0.85	30
ANKRD33B	0.849	2.215e-10	7.59e-10	0.8023	1.16e-08	3.34e-08	18.44	-0.2	17.93	0.73	34
ANKRD34A	0.5393	0.002105	0.00284	0.2681	0.1521	0.172	1.33	0.08	0.78	0.45	30
ANKRD36C	0.3353	0.01078	0.0135	0.5039	6.444e-05	0.000111	63.76	-0.11	43.6	0.41	57
ANKRD39	0.491	3.805e-05	6.32e-05	0.439	0.000285	0.000453	2.79	-0.07	1.06	0.25	64
ANKRD40	0.4377	0.0002982	0.000444	0.5028	2.291e-05	4.19e-05	57.07	-0.16	11.22	0.39	64
ANKRD44	0.8545	2.691e-19	6.23e-18	0.9011	3.581e-24	1.17e-22	21.87	-0.14	21.22	0.63	64
ANKRD46	0.7014	1.085e-10	3.92e-10	0.7104	4.856e-11	1.9e-10	22.38	-0.13	9.77	0.34	64
ANKRD49	0.1056	0.4061	0.432	0.249	0.04721	0.0568	48.12	0.02	16.48	0.28	64
ANKRD50	0.7296	7.995e-12	3.51e-11	0.7719	8.244e-14	4.71e-13	22.54	0.1	12.56	0.47	64
ANKRD52	0.2566	0.04071	0.0484	0.3432	0.0055	0.00741	27.04	-0.17	8.67	0.29	64
ANKRD54	0.5401	4.105e-06	7.7e-06	0.4989	2.717e-05	4.94e-05	19.37	0.05	4.54	0.18	64
ANKRD63	0.5737	7.198e-07	1.48e-06	0.7485	1.165e-12	5.74e-12	0.41	-0.09	0.57	0.99	64
ANKS1A	0.5455	3.14e-06	5.97e-06	0.5278	7.389e-06	1.45e-05	12.58	0.12	4.52	0.21	64
ANKS1B	0.7235	2.05e-10	7.07e-10	0.5109	4.895e-05	8.6e-05	12.8	-0.18	31.7	1.22	57
ANKS3	0.1938	0.2074	0.228	0.1672	0.2781	0.304	6.2	0.11	2.32	0.25	44
ANKS6	0.809	6.081e-16	5.75e-15	0.8266	4.026e-17	3.56e-16	8.83	0.12	7.44	0.76	64
ANKZF1	0.1996	0.1138	0.129	0.1408	0.2673	0.293	44.25	-0.02	17.52	0.25	64
ANLN	0.6779	7.623e-10	2.39e-09	0.7599	3.32e-13	1.76e-12	89.69	-0.17	53	0.35	64
ANO1	0.596	3.124e-05	5.23e-05	0.5966	3.051e-05	5.5e-05	5.93	-0.03	19.2	1.26	42
ANO10	0.8073	7.82e-16	7.24e-15	0.8237	6.462e-17	5.55e-16	6.77	0.18	4.58	0.54	64
ANO6	0.7331	5.659e-12	2.54e-11	0.8026	1.537e-15	1.09e-14	54.17	0.11	23.6	0.34	64
ANO8	0.4457	0.0002232	0.000339	0.4703	8.812e-05	0.00015	8.14	0	4.28	0.4	64
ANO9	0.8301	3.229e-06	6.13e-06	0.8688	3.241e-07	7.67e-07	8.08	-0.3	8.15	0.9	21
ANOS1	0.3351	0.1486	0.166	0.1853	0.4342	0.462	0.1	-0.2	0.28	0.32	20
ANP32A	0.3717	0.00249	0.00334	0.3623	0.00326	0.00452	124.28	0.11	32.31	0.16	64
ANP32B	0.4799	6.013e-05	9.77e-05	0.5681	9.775e-07	2.16e-06	82.42	0.02	42.3	0.2	64
ANP32E	0.4836	5.154e-05	8.44e-05	0.4748	7.378e-05	0.000126	226.89	0.09	107.46	0.18	64
ANPEP	0.8757	2.833e-21	1.23e-19	0.5113	1.576e-05	2.96e-05	4.35	0.44	11.33	0.92	64
ANTXR1	0.8781	1.622e-21	7.94e-20	0.8363	7.914e-18	7.79e-17	7.01	-0.16	10.82	0.88	64
ANTXR2	0.726	1.138e-11	4.87e-11	0.8372	6.707e-18	6.67e-17	10.96	-0.1	14.44	0.89	64
ANXA1	0.6944	1.978e-10	6.84e-10	0.4973	2.904e-05	5.25e-05	34.47	-1.18	90.81	1.52	64
ANXA11	0.8841	3.703e-22	2.25e-20	0.7872	1.229e-14	7.77e-14	54.18	0.11	27.84	0.33	64
ANXA2	0.7559	5.192e-13	2.77e-12	0.8494	7.349e-19	8.68e-18	54.46	-0.03	70.17	0.79	64
ANXA2R	0.5132	5.251e-05	8.59e-05	0.4744	0.0002207	0.000356	28.85	-0.25	31.8	0.77	56
ANXA3	0.7228	1.542e-11	6.46e-11	0.4987	2.743e-05	4.98e-05	0.98	-0.51	2.67	1.13	64
ANXA4	0.8317	1.741e-17	2.41e-16	0.9136	6.58e-26	3.23e-24	7.4	-0.14	4.68	0.59	64
ANXA5	0.8224	7.871e-17	9.23e-16	0.9182	1.29e-26	7.88e-25	56.78	-0.56	69.63	0.99	64
ANXA6	0.8416	3.1e-18	5.22e-17	0.8764	2.415e-21	4.48e-20	129.04	-0.33	73.68	0.55	64
ANXA7	0.4371	0.0003051	0.000454	0.3781	0.002066	0.00294	110.84	0.03	25.65	0.22	64
AOAH	0.6463	0.0001142	0.000179	0.6885	2.597e-05	4.73e-05	16.64	0.25	54.81	1.03	30
AOX1	0.6274	1.763e-07	3.98e-07	0.4035	0.001856	0.00265	9.18	-0.87	28.53	1.37	57
AP1AR	0.5899	2.911e-07	6.36e-07	0.6364	1.582e-08	4.45e-08	48.83	0.05	13.1	0.25	64
AP1B1	0.4812	5.697e-05	9.28e-05	0.3724	0.002441	0.00344	60.61	0.01	35.91	0.19	64
AP1G1	0.3983	0.001117	0.00155	0.3642	0.003088	0.0043	47.43	0.04	10.59	0.13	64
AP1G2	0.6347	1.785e-08	4.64e-08	0.5408	3.964e-06	8.06e-06	50.87	-0.08	19.42	0.41	64
AP1M1	0.1664	0.1888	0.209	0.1394	0.2719	0.297	13.42	-0.01	3.59	0.14	64
AP1S1	0.4489	0.0001992	0.000304	0.457	0.0001472	0.000243	51.1	-0.03	26.77	0.26	64
